fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,alcohol_scaled,volatile_scaled,sulphates_scaled,citric_acid_scaled,alc_minus_volatile_scaled
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,0.15384615384615397,0.39726027397260266,0.13772455089820365,0.0,-0.2434141201264487
7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,5,0.2153846153846155,0.5205479452054794,0.2095808383233533,0.0,-0.3051633298208639
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,5,0.2153846153846155,0.4383561643835616,0.1916167664670659,0.04,-0.2229715489989461
11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,6,0.2153846153846155,0.10958904109589043,0.1497005988023952,0.56,0.10579557428872507
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,0.15384615384615397,0.39726027397260266,0.13772455089820365,0.0,-0.2434141201264487
7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,5,0.15384615384615397,0.3698630136986301,0.13772455089820365,0.0,-0.21601685985247615
7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,5,0.15384615384615397,0.3287671232876712,0.07784431137724554,0.06,-0.17492096944151725
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,7,0.24615384615384617,0.363013698630137,0.08383233532934128,0.0,-0.11685985247629083
7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,7,0.1692307692307693,0.3150684931506849,0.1437125748502994,0.02,-0.14583772391991562
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,5,0.32307692307692304,0.2602739726027397,0.281437125748503,0.36,0.06280295047418333
6.7,0.58,0.08,1.8,0.097,15.0,65.0,0.9959,3.28,0.54,9.2,5,0.12307692307692308,0.3150684931506849,0.125748502994012,0.08,-0.19199157007376183
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,5,0.32307692307692304,0.2602739726027397,0.281437125748503,0.36,0.06280295047418333
5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,5,0.23076923076923084,0.3390410958904109,0.1137724550898204,0.0,-0.10827186512118009
7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,5,0.10769230769230775,0.33561643835616434,0.7365269461077846,0.29,-0.22792413066385658
8.9,0.62,0.18,3.8,0.176,52.0,145.0,0.9986,3.16,0.88,9.2,5,0.12307692307692308,0.3424657534246575,0.3293413173652695,0.18,-0.21938883034773443
8.9,0.62,0.19,3.9,0.17,51.0,148.0,0.9986,3.17,0.93,9.2,5,0.12307692307692308,0.3424657534246575,0.35928143712574856,0.19,-0.21938883034773443
8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,7,0.32307692307692304,0.10958904109589043,0.25149700598802394,0.56,0.2134878819810326
8.1,0.56,0.28,1.7,0.368,16.0,56.0,0.9968,3.11,1.28,9.3,5,0.13846153846153864,0.30136986301369867,0.5688622754491018,0.28,-0.16290832455216003
7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,4,0.0923076923076922,0.32191780821917804,0.10179640718562874,0.08,-0.22961011591148583
7.9,0.32,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,9.2,6,0.12307692307692308,0.136986301369863,0.4491017964071857,0.51,-0.013909378292939922
8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,6,0.15384615384615397,0.0684931506849315,0.1197604790419162,0.48,0.08535300316122246
7.6,0.39,0.31,2.3,0.082,23.0,71.0,0.9982,3.52,0.65,9.7,5,0.19999999999999996,0.18493150684931509,0.1916167664670659,0.31,0.01506849315068487
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5,0.1692307692307693,0.21232876712328763,0.34730538922155696,0.21,-0.043097997892518336
8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,5,0.15384615384615397,0.25342465753424653,0.1197604790419162,0.11,-0.09957850368809257
6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,6,0.19999999999999996,0.1917808219178082,0.17964071856287425,0.14,0.008219178082191747
